product_name,product_link,image_url,category
Fanta McFloat,https://www.mcdonalds.co.id/menu/fanta-mcfloat,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/zxt7CxP7JkXqZI83b32H.webp,Sarapan Pagi
Tehbotol Sosro Tawar,https://www.mcdonalds.co.id/menu/tehbotol-sosro-tawar,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/ci9amN6LR3yWdD3MwBkZ.webp,Sarapan Pagi
Iced Milo,https://www.mcdonalds.co.id/menu/iced-milo,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2024/zpgsirdZCvIkNn5Lm44k.png,Sarapan Pagi
Iced Lychee Tea,https://www.mcdonalds.co.id/menu/iced-lychee-tea,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/k887tfMo8ru7ERq871nx.webp,Sarapan Pagi
Iced Coffee Jelly Float,https://www.mcdonalds.co.id/menu/iced-coffee-jelly-float,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/58CrpweDsMU48KS6vUFP.webp,Sarapan Pagi
Iced Coffee Float,https://www.mcdonalds.co.id/menu/iced-coffee-float,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/CNGXIKbcIPXuotGgUemQ.webp,Sarapan Pagi
Iced Coffee Jelly,https://www.mcdonalds.co.id/menu/iced-coffee-jelly,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/D3EtNAYstmzWbjXc8FNb.webp,Sarapan Pagi
Iced Coffee,https://www.mcdonalds.co.id/menu/iced-coffee,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/qqUt7Skv42a6EG1AWzYA.webp,Sarapan Pagi
Tehbotol Sosro,https://www.mcdonalds.co.id/menu/tehbotol-sosro,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/daO8PblKsFrO58VqlsAV.webp,Sarapan Pagi
Tehbotol Sosro Kotak,https://www.mcdonalds.co.id/menu/tehbotol-sosro-kotak,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/ZkS78AVwvCdwPKHkESQl.webp,Sarapan Pagi
Fruit Tea Blackcurrant,https://www.mcdonalds.co.id/menu/fruit-tea-blackcurrant,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/RxsJZySsIFI6hzsXVNkO.webp,Sarapan Pagi
Mineral Water Prim-a,https://www.mcdonalds.co.id/menu/mineral-water-prim-a,https://d2vuyvo9qdtgo9.cloudfront.net/foods/July2024/cQtKXwFsTEw8xBo6sknZ.png,Sarapan Pagi
Hot Coffee,https://www.mcdonalds.co.id/menu/hot-coffee,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/lKvruuqIq0mpA4A22qZb.webp,Sarapan Pagi
Hot Tea,https://www.mcdonalds.co.id/menu/hot-tea,https://d2vuyvo9qdtgo9.cloudfront.net/foods/July2024/AK5pChXFq8QnGv1ZXlXa.png,Sarapan Pagi
Mix Berries With Froot Loops,https://www.mcdonalds.co.id/menu/mix-berries-with-froot-loops,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2025/Txrjkyai4QBOWRothOei.webp,Sarapan Pagi
Mix Berries With OREO,https://www.mcdonalds.co.id/menu/mix-berries-with-oreo,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2025/PRTfM8NjVIF0Xx3qHg9u.webp,Sarapan Pagi
Pink Top Black Cone,https://www.mcdonalds.co.id/menu/pink-top-black-cone-1,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2025/dM5jhm1IJSSzE8xMAR78.png,Sarapan Pagi
Pink Top Black Cone,https://www.mcdonalds.co.id/menu/pink-top-black-cone,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2025/vXs6Ij5Bwi1KHRKIQM5M.webp,Sarapan Pagi
Chocolate Strawberry Sundae,https://www.mcdonalds.co.id/menu/chocolate-strawberry-sundae,https://d2vuyvo9qdtgo9.cloudfront.net/foods/August2025/wEqV7rMBRaecZRF9PfBH.png,Sarapan Pagi
Double Choco Sundae,https://www.mcdonalds.co.id/menu/double-choco-sundae,https://d2vuyvo9qdtgo9.cloudfront.net/foods/August2025/0MhmKMSzKmXwLnfoK6zJ.png,Sarapan Pagi
Ice Cream Cone Cokelat Twist,https://www.mcdonalds.co.id/menu/ice-cream-cone-cokelat-twist,https://d2vuyvo9qdtgo9.cloudfront.net/foods/April2024/NoboirX8LZI1EHo4HZFi.png,Sarapan Pagi
Ice Cream Cone Cokelat,https://www.mcdonalds.co.id/menu/ice-cream-cone-cokelat,https://d2vuyvo9qdtgo9.cloudfront.net/foods/April2024/eeMtDiWSQgDFw87SBsUg.png,Sarapan Pagi
Apple Pie,https://www.mcdonalds.co.id/menu/apple-pie,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/2v6BKJsgRnFGxv7iBQb6.webp,Sarapan Pagi
McFlurry feat. OREO,https://www.mcdonalds.co.id/menu/mcflurry-feat-oreo,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/FDl81RM1TWZlsJEmONK0.webp,Sarapan Pagi
McFlurry Choco,https://www.mcdonalds.co.id/menu/mcflurry-choco,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/j89rYSvFrMsadNcnkXNm.webp,Sarapan Pagi
Strawberry Sundae,https://www.mcdonalds.co.id/menu/strawberry-sundae,https://d2vuyvo9qdtgo9.cloudfront.net/foods/August2025/H6R6fcsVR0IR00jqzqAB.png,Sarapan Pagi
Chocolate Sundae,https://www.mcdonalds.co.id/menu/chocolate-sundae,https://d2vuyvo9qdtgo9.cloudfront.net/foods/August2025/e5i9QICKtNfNUOwlaLkt.png,Sarapan Pagi
Ice Cream Cone,https://www.mcdonalds.co.id/menu/ice-cream-cone,https://d2vuyvo9qdtgo9.cloudfront.net/foods/August2019/eO8BGkwAqrXH7y0MYJ3K.png,Sarapan Pagi
Happy Meal 4 pcs McNuggets®,https://www.mcdonalds.co.id/menu/happy-meal-4-pcs-mcnuggets,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/4el9aA1delRrNDQJmkfu.webp,Sarapan Pagi
Happy Meal Ayam McD,https://www.mcdonalds.co.id/menu/happy-meal-ayam-mcd,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/rrSbsA19feoVPCoo7el9.webp,Sarapan Pagi
Happy Meal Beef Burger,https://www.mcdonalds.co.id/menu/happy-meal-beef-burger,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/yH7MhOTI1NYS8dT2dSZU.webp,Sarapan Pagi
Affogato,https://www.mcdonalds.co.id/menu/affogato,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/4ZjBuwFptbmhCyJqUIX6.webp,Sarapan Pagi
Matchagato,https://www.mcdonalds.co.id/menu/matchagato,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/uV8M7PDkMlayEpZAQFkB.webp,Sarapan Pagi
Chocogato,https://www.mcdonalds.co.id/menu/chocogato,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/O3P6XrnsEoFvBFMreJSW.webp,Sarapan Pagi
Hot Matcha Latte,https://www.mcdonalds.co.id/menu/hot-matcha-latte,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/Ll5K4M3UM6AM27AotnXk.webp,Sarapan Pagi
